# freq amp phase
29562.0437956 1000005.37478 -92.5939315829
29683.6982968 1000005.41913 -92.9749800853
29805.3527981 1000005.46367 -93.356028631
29927.0072993 1000005.50839 -93.7370772202
30048.6618005 1000005.55329 -94.1181258531
30170.3163017 1000005.59837 -94.4991745298
30291.9708029 1000005.64364 -94.8802232505
30413.6253041 1000005.68909 -95.2612720155
30535.2798054 1000005.73471 -95.6423208249
30656.9343066 1000005.78053 -96.0233696788
30778.5888078 1000005.82652 -96.4044185775
30900.243309 1000005.8727 -96.7854675211
31021.8978102 1000005.91905 -97.1665165098
31143.5523114 1000005.96559 -97.5475655438
31265.2068127 1000006.01232 -97.9286146232
31386.8613139 1000006.05922 -98.3096637483
31508.5158151 1000006.10631 -98.6907129191
31630.1703163 1000006.15358 -99.071762136
31751.8248175 1000006.20103 -99.452811399
31873.4793187 1000006.24866 -99.8338607084
31995.13382 1000006.29648 -100.214910064
32116.7883212 1000006.34448 -100.595959467
32238.4428224 1000006.39265 -100.977008916
32360.0973236 1000006.44102 -101.358058413
32481.7518248 1000006.48956 -101.739107957
32603.406326 1000006.53829 -102.120157548
32725.0608273 1000006.5872 -102.501207186
32846.7153285 1000006.63629 -102.882256873
32968.3698297 1000006.68556 -103.263306607
33090.0243309 1000006.73501 -103.64435639
33211.6788321 1000006.78465 -104.025406221
33333.3333333 1000006.83447 -104.4064561
33454.9878345 1000006.88447 -104.787506028
33576.6423358 1000006.93465 -105.168556005
33698.296837 1000006.98502 -105.549606031
33819.9513382 1000007.03557 -105.930656106
33941.6058394 1000007.0863 -106.31170623
34063.2603406 1000007.13721 -106.692756404
34184.9148418 1000007.1883 -107.073806628
34306.5693431 1000007.23958 -107.454856901
34428.2238443 1000007.29104 -107.835907225
34549.8783455 1000007.34268 -108.216957598
34671.5328467 1000007.3945 -108.598008023
34793.1873479 1000007.44651 -108.979058498
34914.8418491 1000007.4987 -109.360109023
35036.4963504 1000007.55107 -109.7411596
35158.1508516 1000007.60362 -110.122210227
35279.8053528 1000007.65635 -110.503260907
35401.459854 1000007.70927 -110.884311637
35523.1143552 1000007.76236 -111.265362419
35644.7688564 1000007.81564 -111.646413253
35766.4233577 1000007.86911 -112.027464139
35888.0778589 1000007.92275 -112.408515078
36009.7323601 1000007.97658 -112.789566068
36131.3868613 1000008.03059 -113.170617112
36253.0413625 1000008.08478 -113.551668208
36374.6958637 1000008.13915 -113.932719356
36496.350365 1000008.19371 -114.313770558
36618.0048662 1000008.24844 -114.694821814
36739.6593674 1000008.30336 -115.075873122
